   text	   data	    bss	    dec	    hex	filename
   1204	      0	      0	   1204	    4b4	arm32v6.o
   1216	      0	      0	   1216	    4c0	arm32v7.o
   1184	      0	      0	   1184	    4a0	arm32v8.o
    824	      0	      0	    824	    338	arm64.o
   1140	      0	      0	   1140	    474	mips.o
   1048	      0	      0	   1048	    418	mips64.o
   1072	      0	      0	   1072	    430	nios2.o
   1216	      0	      0	   1216	    4c0	ppc32.o
   1172	      0	      0	   1172	    494	ppc64.o
   1014	      0	      0	   1014	    3f6	ppcvle.o
   1128	      0	      0	   1128	    468	rv32im.o
    854	      0	      0	    854	    356	rv32imc.o
   1044	      0	      0	   1044	    414	rv64im.o
    812	      0	      0	    812	    32c	rv64imc.o
    852	      0	      0	    852	    354	thumb2.o
    960	      0	      0	    960	    3c0	umips.o
    944	      0	      0	    944	    3b0	umips64.o
